StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,fam_biden,fam_trump,fam_zuck,fam_musk,fav_biden_1,fav_trump_1,fav_zuck_1,fav_musk_1,t1_biden_1,t1_trump_1,t1_zuck_1,t1_musk_1,t2_biden_1,t2_trump_1,t2_zuck_1,t2_musk_1,Q1,Q2,Q3,Q4,Q5,transaction_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you familiar with Joe Biden?,Are you familiar with Donald Trump?,Are you familiar with Mark Zuckerberg?,Are you familiar with Elon Musk?,How favorable or unfavorable do you feel towards Joe Biden? - 1,How favorable or unfavorable do you feel towards Donald Trump? - 1,How favorable or unfavorable do you feel towards Mark Zuckerberg? - 1,How favorable or unfavorable do you feel towards Elon Musk? - 1,How favorable or unfavorable do you feel towards Joe Biden? - 1,How favorable or unfavorable do you feel towards Donald Trump? - 1,How favorable or unfavorable do you feel towards Mark Zuckerberg? - Very favorable,How favorable or unfavorable do you feel towards Elon Musk? - 1,How favorable or unfavorable do you feel towards Joe Biden? - 1,How favorable or unfavorable do you feel towards Donald Trump? - 1,How favorable or unfavorable do you feel towards Mark Zuckerberg? - 1,How favorable or unfavorable do you feel towards Elon Musk? - Very favorable,You are…,Please indicate your age,How would you identify your political party?,How would you identify your political ideology?,"What industry do you work in? If you are not currently working, please select N/A.",transaction_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2003""}","{""ImportId"":""QID2004""}","{""ImportId"":""QID2005""}","{""ImportId"":""QID2006""}","{""ImportId"":""QID2032_1""}","{""ImportId"":""QID2033_1""}","{""ImportId"":""QID2034_1""}","{""ImportId"":""QID2035_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2008_1""}","{""ImportId"":""QID2009_1""}","{""ImportId"":""QID2010_1""}","{""ImportId"":""QID2027_1""}","{""ImportId"":""QID2028_1""}","{""ImportId"":""QID2029_1""}","{""ImportId"":""QID2030_1""}","{""ImportId"":""QID2021""}","{""ImportId"":""QID2023_TEXT""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""transaction_id""}"
2024-07-29 13:02:58,2024-07-29 13:03:51,IP Address,103.120.51.82,100,53,True,2024-07-29 13:03:52,R_4dMu9f4mkYkI8pG,,,,,17.3724,78.4378,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,9,7,10,8,,,,,,,,,Male,27,Republican,Liberal,"Technology ",4XBY6t3iQoaWbyGFwTEACP
2024-07-29 13:05:22,2024-07-29 13:05:28,IP Address,103.120.51.82,100,6,True,2024-07-29 13:05:29,R_4XdI0xDJtsGZmJ6,,,,,17.3724,78.4378,anonymous,EN,I am NOT very familiar with Joe Biden and CANNOT recognize him by face,I am NOT very familiar with Donald Trump and CANNOT recognize him by face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,3VRqGAjQTmopJkB7i3mfUc
2024-07-29 13:46:48,2024-07-29 13:47:04,IP Address,204.210.210.66,100,15,True,2024-07-29 13:47:04,R_18l4EwbrGq2rHZn,,,,,42.1124,-80.0885,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am NOT very familiar with Donald Trump and CANNOT recognize him by face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,,,,,,,,,,,,,,,,,,58DyUEWDf22C5Xs8KLrJg6
2024-07-29 13:47:11,2024-07-29 13:47:20,IP Address,72.104.41.45,100,8,True,2024-07-29 13:47:20,R_10ibBpNk9LosoX1,,,,,40.1618,-79.5087,anonymous,EN,I am NOT very familiar with Joe Biden and CANNOT recognize him by face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,1miitzJBqfwOpnJfqnnnaM
2024-07-29 13:47:07,2024-07-29 13:47:29,IP Address,73.33.186.75,100,21,True,2024-07-29 13:47:29,R_5Dqr1j6lMsLK4x3,,,,,39.9484,-74.9875,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am NOT very familiar with Mark Zuckerberg and CANNOT recognize him by face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,1vyKUzquZylagTrBc2ArY4
2024-07-29 13:47:18,2024-07-29 13:47:42,IP Address,172.58.13.37,100,24,True,2024-07-29 13:47:42,R_7IBgJactBsZrYTn,,,,,44.9834,-93.2622,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,4M8VGOQJSWFQK3DBmsRB4A
2024-07-29 13:47:04,2024-07-29 13:47:46,IP Address,24.11.17.243,100,41,True,2024-07-29 13:47:46,R_7PbpFytFvgAmyeF,,,,,40.598,-111.9619,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am familiar with Elon Musk and can recognize him by name and face,10,0,6,0,,,,,,,,,Female,67,Democrat,Liberal,N/A,3sqQB8mr6U3pKM909MltcV
2024-07-29 13:47:39,2024-07-29 13:47:47,IP Address,67.7.68.156,100,7,True,2024-07-29 13:47:47,R_5Nb0McxDd8VNTBG,,,,,26.6292,-81.968,anonymous,EN,I am familiar with Joe Biden and can recognize him by name and face,I am familiar with Donald Trump and can recognize him by name and face,I am familiar with Mark Zuckerberg and can recognize him by name and face,I am NOT very familiar with Elon Musk and CANNOT recognize him by face,,,,,,,,,,,,,,,,,,6g2dmlSopcAtjuIBPDOBm3
